subject_id,redcap_event_name,rabbit_weight,transfusion_date,tbvr,telemetry_id,exclude,exclusion_reason,damp_ld_info,damp_gtt_info,damp_ld_5min,damp_ld_4_hrs,braintissue_vol_5min,braintissue_vol_4hr,total_damp_5min,total_damp_4hr,m_vol_5min,m_vol_4hr,bld_vol_5min,bld_vol_4hr,time,map,bpm,body_temp,ph,pc02,po2,lac,wbc,rbc,hgb,hct,plt,ggt,ast,alt,amy,ldh,crea,bun,glu,tg,r_min,k_min,angle_deg,ma_mm,aptt,pt,tt,fib,fluids_and_drugs_data_acredit_complete,baseline_data_complete,baseline_data_c_dbb1_complete,clinical_vitals_complete,abg_complete,cbc_complete,cmp_complete,teg_complete,coag_complete
B-LR 04,72h_arm_2,,,,,,,,,,,,,,,,,,,05:54,81,204,39,11,35,90,0,4,4,2,29,168,3,71,206,217,149,1,14,201,78,2,2,67,65,,32,,,,,,0,1,1,1,1,0
B-LR 04,predeath_arm_2,,,,,,,,,,,,,,,,,,,15:07,56,222,43,2,34,82,3,7,6,2,25,238,3,138,179,177,242,1,11,396,88,2,1,57,60,,37,,,,,,0,1,1,1,1,0
B-LR 07,baseline_arm_2,2.73,2025-01-27,0.45,10011,1,Reason,,,,,,,,,,,,,07:31,52,225,40,12,35,90,0,8,6,2,24,329,2,116,140,182,238,1,23,352,113,5,1,56,63,,71,,,2,1,,1,1,1,1,1,0
B-LR 07,eos_arm_2,,,,,,,,,,,,,,,,,,,15:08,74,231,37,11,35,86,3,4,8,3,36,243,3,122,70,285,231,1,17,568,98,5,2,58,65,,70,,,,,,0,1,1,1,1,0
B-LR 07,eor_arm_2,,,,,,,,,,,,,,,,,,,06:24,90,228,40,3,31,86,2,9,5,2,20,300,4,68,224,318,206,1,19,363,136,6,1,63,63,,45,,,,,,0,1,1,1,1,0
B-LR 07,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,11:37,75,226,45,10,32,83,4,4,3,3,21,328,3,132,233,239,233,1,14,358,88,2,2,70,53,,19,,,,,,0,1,1,1,1,0
B-LR 07,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,09:59,75,194,39,4,34,85,6,4,8,8,17,206,2,113,194,206,218,1,25,353,118,2,1,68,62,,19,,,,,,0,1,1,1,1,0
B-LR 07,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,20:31,73,197,45,8,37,84,3,8,4,8,21,160,3,120,152,156,104,1,10,285,139,2,2,57,58,,72,,,,,,0,1,1,1,1,0
B-LR 07,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,04:20,84,239,41,12,31,80,0,1,2,8,22,192,2,152,90,235,106,1,27,573,106,5,1,64,59,,62,,,,,,0,1,1,1,1,0
B-LR 07,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,12:51,87,202,35,5,37,81,3,9,3,4,31,244,1,97,147,152,137,1,24,308,140,6,2,61,67,,21,,,,,,0,1,1,1,1,0
B-LR 07,24h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-LR 07,48h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-LR 07,72h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-LR 07,predeath_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
