subject_id,redcap_event_name,rabbit_weight,transfusion_date,bld_volume,transf_vol,exclude,exclusion_reason,damp_ld_info,damp_gtt_info,damp_ld_5min,damp_ld_4_hrs,braintissue_vol_5min,braintissue_vol_4hr,total_damp_5min,total_damp_4hr,m_vol_5min,m_vol_4hr,bld_vol_5min,bld_vol_4hr,time,map,bpm,body_temp,ph,pc02,po2,lac,wbc,rbc,hgb,hct,plt,ggt,ast,alt,amy,ldh,crea,bun,glu,tg,r_min,k_min,angle_deg,ma_mm,fluids_and_drugs_data_acredit_complete,baseline_data_complete,baseline_data_c_dbb1_complete,clinical_vitals_complete,abg_complete,cbc_complete,cmp_complete,coagteg_complete
A-TST 08,1h_arm_1,,,,,,,,,,,,,,,,,,,03:32,57,233,38,6,37,84,0,2,9,4,15,317,3,62,138,252,81,1,14,575,67,6,1,77,56,,,,2,2,2,2,2
A-TST 08,3h_arm_1,,,,,,,,,,,,,,,,,,,23:12,83,220,38,6,31,82,1,9,3,6,21,325,2,93,82,186,129,1,21,562,89,2,2,77,68,,,,2,2,2,2,2
A-TST 08,6h_arm_1,,,,,,,,,,,,,,,,,,,14:24,80,205,44,7,34,84,8,6,5,6,36,175,3,134,69,208,83,1,21,566,109,5,2,76,55,,,,2,2,2,2,2
A-TST 08,24h_arm_1,,,,,,,,,,,,,,,,,,,16:18,83,234,39,12,33,80,7,1,8,8,21,192,2,146,166,308,119,1,16,463,101,3,1,64,67,,,,2,2,2,2,2
B-LR 01,baseline_arm_2,1.84,2022-09-27,51.46,51.46,1,Died before 24 Hr,,,,,,,,,,,,,,75,260,,7,33,81,1,6,7,15,48,74,9,65,66,200,71,0,14,132,152,,,,,2,2,,2,2,2,2,0
B-LR 01,eos_arm_2,,,,,,,,,,,,,,,,,,,09:08,37,274,,7,30,112,11,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 01,eor_arm_2,,,,,,,,,,,,,,,,,,,09:18,39,255,,7,33,111,13,5,2,6,17,92,5,41,43,121,79,0,19,316,136,,,,,,,,2,2,2,2,0
B-LR 01,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,10:18,47,281,,7,38,92,7,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 01,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,11:18,57,281,,7,30,121,6,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 01,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,,46,263,,7,26,116,10,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 01,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,,43,283,,7,21,119,13,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 01,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,,,,,7,23,144,15,3,2,5,15,977,6,76,56,130,112,1,31,387,110,,,,,,,,0,2,2,2,0
B-LR 01,24h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 01,48h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 01,72h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 01,predeath_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 02,baseline_arm_2,1.9,2022-09-27,53.2,53.2,,,,,,,,,,,,,,,08:02,78,209,,7,35,74,0,8,5,12,38,254,12,85,90,289,67,0,16,140,64,,,,,2,2,,2,2,2,2,0
B-LR 02,eos_arm_2,,,,,,,,,,,,,,,,,,,10:20,61,294,,7,34,107,7,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 02,eor_arm_2,,,,,,,,,,,,,,,,,,,10:32,69,273,,7,42,98,9,5,2,6,19,252,5,73,54,169,88,0,21,232,67,,,,,,,,2,2,2,2,0
B-LR 02,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,11:32,50,253,,7,41,101,4,7,2,4,13,177,,,,,,,,,,,,,,,,,2,2,2,0,0
B-LR 02,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,12:32,42,248,,7,38,102,7,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 02,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,01:32,48,292,,7,29,114,5,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 02,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,02:32,55,296,,7,31,107,7,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 02,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,,,,,7,33,119,7,6,2,4,13,185,,,,,,,,,,,,,,,,,0,2,2,0,0
B-LR 02,24h_arm_2,,,,,,,,,,,,,,,,,,,,53,293,,7,17,117,20,5,1,3,10,122,7,132,71,212,191,0,33,256,82,,,,,,,,2,2,2,2,0
B-LR 02,48h_arm_2,,,,,,,,,,,,,,,,,,,,55,273,,,,,,,,,,,9,650,327,348,756,0,57,76,609,,,,,,,,2,0,0,2,0
B-LR 02,72h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 02,predeath_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 03,baseline_arm_2,1.7,2026-09-28,47.6,47.6,,,,,,,,,,,,,,,06:50,78,255,,7,28,76,1,9,6,13,40,120,15,73,116,197,158,0,13,145,63,,,,,2,2,,2,2,2,2,0
B-LR 03,eos_arm_2,,,,,,,,,,,,,,,,,,,09:07,56,283,,7,35,27,6,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 03,eor_arm_2,,,,,,,,,,,,,,,,,,,09:17,57,251,,7,42,43,9,5,3,7,21,151,8,125,71,100,157,0,17,180,49,,,,,,,,2,2,2,2,0
B-LR 03,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,10:17,63,169,,7,38,30,3,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 03,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,11:17,68,169,,7,32,37,3,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 03,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,12:17,67,258,,7,35,27,5,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 03,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,01:17,32,296,,7,33,28,9,5,2,4,14,149,,,,,,,,,,,,,,,,,2,2,2,0,0
B-LR 03,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,,60,290,,7,36,30,11,7,2,5,15,150,12,445,149,143,380,0,24,197,85,,,,,,,,2,2,2,2,0
B-LR 03,24h_arm_2,,,,,,,,,,,,,,,,,,,09:17,41,275,,7,34,25,2,7,2,5,17,173,13,650,381,153,683,0,22,136,490,,,,,,,,2,2,2,2,0
B-LR 03,48h_arm_2,,,,,,,,,,,,,,,,,,,09:17,41,254,,7,31,32,2,10,2,4,14,185,22,650,650,306,1025,0,42,118,609,,,,,,,,2,2,2,2,0
B-LR 03,72h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 03,predeath_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 04,baseline_arm_2,1.63,2022-09-28,0.4,0.4,1,low EOS lac,,,,,,,,,,,,,08:25,74,203,,7,34,85,1,7,7,16,50,142,15,43,50,178,91,0,13,125,77,,,,,2,2,,2,2,2,2,0
B-LR 04,eos_arm_2,,,,,,,,,,,,,,,,,,,11:00,53,275,,7,32,106,3,,,,,,10,25,28,110,67,0,16,218,117,,,,,,,,2,2,0,2,0
B-LR 04,eor_arm_2,,,,,,,,,,,,,,,,,,,11:22,51,294,,7,37,90,4,5,3,7,21,216,9,,,,,,,,,,,,,,,,2,2,2,2,0
B-LR 04,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,12:22,41,265,,7,30,102,1,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 04,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,01:22,42,250,,7,29,106,3,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 04,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,02:22,39,261,,7,35,90,4,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 04,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,03:22,42,286,,7,25,110,3,7,3,6,20,135,,,,,,,,,,,,,,,,,2,2,2,0,0
B-LR 04,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,,,,,7,27,111,4,5,2,5,15,152,,50,52,145,156,0,22,266,138,,,,,,,,0,2,2,2,0
B-LR 04,24h_arm_2,,,,,,,,,,,,,,,,,,,11:22,62,287,,7,33,97,1,6,2,4,14,196,9,211,140,446,325,0,25,132,609,,,,,,,,2,2,2,2,0
B-LR 04,48h_arm_2,,,,,,,,,,,,,,,,,,,11:22,58,294,,7,32,86,2,10,2,4,14,148,12,291,207,539,453,0,25,128,609,,,,,,,,2,2,2,2,0
B-LR 04,72h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 04,predeath_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 05,baseline_arm_2,1.74,2022-10-04,0.4,0.4,,,,,,,,,,,,,,,09:10,86,241,,7,38,85,1,8,6,12,39,161,11,75,98,214,112,0,10,157,129,,,,,2,2,,2,2,2,2,0
B-LR 05,eos_arm_2,,,,,,,,,,,,,,,,,,,11:32,31,191,,7,42,118,5,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 05,eor_arm_2,,,,,,,,,,,,,,,,,,,11:40,53,178,,7,52,99,8,6,3,7,21,216,5,36,55,142,72,0,12,213,118,,,,,,,,2,2,2,2,0
B-LR 05,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,12:40,36,201,,7,48,95,3,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 05,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,01:40,48,213,,7,42,108,3,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 05,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,02:40,58,260,,7,36,108,3,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 05,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,03:40,44,265,,7,32,121,5,7,2,4,12,90,,,,,,,,,,,,,,,,,2,2,2,0,0
B-LR 05,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,,,,,7,36,128,6,7,2,5,17,103,5,65,74,211,110,0,17,154,248,,,,,,,,0,2,2,2,0
B-LR 05,24h_arm_2,,,,,,,,,,,,,,,,,,,11:40,62,288,,7,35,94,2,8,2,5,13,155,5,268,236,367,378,0,16,138,609,,,,,,,,2,2,2,2,0
B-LR 05,48h_arm_2,,,,,,,,,,,,,,,,,,,12:40,58,229,,7,32,98,1,5,1,4,11,314,8,99,281,327,149,0,11,122,609,,,,,,,,2,2,2,2,0
B-LR 05,72h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 05,predeath_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 06,baseline_arm_2,1.67,2022-10-04,46.76,46.76,0,,,,,,,,,,,,,,10:20,78,249,,7,36,88,2,9,6,12,39,352,11,38,69,213,203,0,15,141,107,,,,,2,2,,2,2,2,2,0
B-LR 06,eos_arm_2,,,,,,,,,,,,,,,,,,,12:40,56,266,,7,36,115,9,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 06,eor_arm_2,,,,,,,,,,,,,,,,,,,12:50,46,246,,7,35,140,11,5,3,6,20,245,7,40,54,149,111,0,20,297,145,,,,,,,,2,2,2,2,0
B-LR 06,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,13:50,57,286,,7,34,147,7,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 06,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,14:50,61,270,,7,34,127,6,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 06,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,15:50,59,267,,7,33,122,6,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 06,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,16:50,46,256,,7,35,111,5,5,2,5,16,273,,,,,,,,,,,,,,,,,2,2,2,0,0
B-LR 06,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,17:00,46,277,,7,36,120,6,5,2,6,18,222,9,70,62,209,44,0,24,237,236,,,,,,,,2,2,2,2,0
B-LR 06,24h_arm_2,,,,,,,,,,,,,,,,,,,12:50,59,282,,7,29,142,1,5,3,7,23,200,7,323,234,431,527,1,40,154,609,,,,,,,,2,2,2,2,0
B-LR 06,48h_arm_2,,,,,,,,,,,,,,,,,,,12:50,63,179,,7,30,79,3,9,2,5,15,347,7,347,338,1092,612,0,18,123,609,,,,,,,,2,2,2,2,0
B-LR 06,72h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 06,predeath_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 07,baseline_arm_2,1.62,2022-10-05,45.36,45.36,0,,,,,,,,,,,,,,09:10,88,249,,7,40,82,1,8,5,12,38,145,13,209,152,208,289,0,12,140,107,,,,,2,2,,2,2,2,2,0
B-LR 07,eos_arm_2,,,,,,,,,,,,,,,,,,,11:32,57,211,,7,31,95,7,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 07,eor_arm_2,,,,,,,,,,,,,,,,,,,11:42,52,274,,7,33,112,9,8,2,6,19,189,7,163,103,125,168,0,17,247,108,,,,,,,,2,2,2,2,0
B-LR 07,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,12:42,79,171,,7,36,89,3,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 07,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,01:42,50,296,,7,32,133,6,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 07,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,02:42,77,299,,7,30,138,3,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 07,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,03:42,49,285,,7,33,96,3,5,2,6,20,186,,,,,,,,,,,,,,,,,2,2,2,0,0
B-LR 07,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,,68,273,,7,33,129,5,6,2,4,14,170,9,202,143,170,301,0,23,251,150,,,,,,,,2,2,2,2,0
B-LR 07,24h_arm_2,,,,,,,,,,,,,,,,,,,11:42,59,288,,7,33,69,1,10,2,5,14,242,9,388,280,273,462,0,34,159,609,,,,,,,,2,2,2,2,0
B-LR 07,48h_arm_2,,,,,,,,,,,,,,,,,,,11:42,73,288,,7,35,80,0,9,2,5,15,384,,,,,,,,,,,,,,,,,2,2,2,0,0
B-LR 07,72h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 07,predeath_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 08,baseline_arm_2,1.59,2022-10-05,44.52,44.52,0,,,,,,,,,,,,,,10:25,85,233,,7,38,74,1,6,5,12,37,23,8,156,154,275,232,0,9,154,190,,,,,2,2,,2,2,2,2,0
B-LR 08,eos_arm_2,,,,,,,,,,,,,,,,,,,12:45,29,285,,7,31,133,8,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 08,eor_arm_2,,,,,,,,,,,,,,,,,,,12:55,51,245,,7,36,151,11,6,3,8,25,55,7,86,96,235,106,0,11,209,165,,,,,,,,2,2,2,2,0
B-LR 08,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,13:55,41,289,,7,34,132,7,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 08,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,14:55,52,242,,7,31,134,4,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 08,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,15:55,41,170,,7,30,144,3,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 08,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,16:55,45,266,,7,27,127,3,4,2,5,15,133,,,,,,,,,,,,,,,,,2,2,2,0,0
B-LR 08,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,17:05,50,300,,7,29,122,5,5,2,5,16,100,6,159,124,260,263,0,23,258,227,,,,,,,,2,2,2,2,0
B-LR 08,24h_arm_2,,,,,,,,,,,,,,,,,,,12:55,58,230,,7,31,107,1,7,2,6,19,180,7,201,206,409,231,0,13,146,503,,,,,,,,2,2,2,2,0
B-LR 08,48h_arm_2,,,,,,,,,,,,,,,,,,,12:55,53,210,,7,32,90,4,10,1,4,13,358,8,446,340,422,584,0,23,131,609,,,,,,,,2,2,2,2,0
B-LR 08,72h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 08,predeath_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 09,baseline_arm_2,1.5,2022-10-11,0.4,0.4,,,,,,,,,,,,,,,09:40,85,297,,7,34,94,0,5,6,12,40,243,10,50,99,277,142,0,10,143,96,,,,,2,2,,2,2,2,2,0
B-LR 09,eos_arm_2,,,,,,,,,,,,,,,,,,,12:00,52,295,,7,37,113,4,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 09,eor_arm_2,,,,,,,,,,,,,,,,,,,12:10,66,294,,7,39,122,6,3,2,6,18,186,7,37,69,150,91,0,15,234,101,,,,,,,,2,2,2,2,0
B-LR 09,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,01:10,38,260,,7,38,116,2,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 09,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,02:10,39,248,,7,34,103,3,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 09,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,03:10,44,264,,7,34,111,3,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 09,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,04:10,64,298,,7,31,29,2,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 09,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,,42,,,7,44,29,4,2,2,5,15,177,6,60,81,189,259,0,23,217,211,,,,,,,,2,2,2,2,0
B-LR 09,24h_arm_2,,,,,,,,,,,,,,,,,,,12:10,67,182,,7,33,101,1,4,1,4,11,238,6,291,210,355,452,0,21,140,609,,,,,,,,2,2,2,2,0
B-LR 09,48h_arm_2,,,,,,,,,,,,,,,,,,,12:10,88,182,,7,35,77,1,9,2,4,15,357,7,162,293,319,254,0,14,141,609,,,,,,,,2,2,2,2,0
B-LR 09,72h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 09,predeath_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 10,baseline_arm_2,1.5,2022-10-12,0.4,0.4,1,low EOS lac,,,,,,,,,,,,,06:20,63,252,,7,41,77,1,4,5,12,39,112,10,37,97,230,53,0,9,131,75,,,,,2,2,,2,2,2,2,0
B-LR 10,eos_arm_2,,,,,,,,,,,,,,,,,,,08:40,52,242,,7,44,99,2,,3,7,21,143,5,31,35,146,72,0,9,173,118,,,,,,,,2,2,2,2,0
B-LR 10,eor_arm_2,,,,,,,,,,,,,,,,,,,08:50,71,256,,7,38,129,5,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 10,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,09:50,47,246,,7,35,108,2,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 10,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,10:50,53,277,,7,34,97,2,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 10,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,11:50,57,271,,7,36,84,2,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-LR 10,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,12:50,61,278,,7,34,96,1,6,2,6,17,132,,,,,,,,,,,,,,,,,2,2,2,0,0
B-LR 10,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,,58,290,,7,38,98,2,6,2,5,16,101,6,39,44,187,81,0,11,154,244,,,,,,,,2,2,2,2,0
B-LR 10,24h_arm_2,,,,,,,,,,,,,,,,,,,08:50,58,272,,7,38,98,1,7,2,4,14,106,8,20,58,247,52,0,10,142,522,,,,,,,,2,2,2,2,0
B-LR 10,48h_arm_2,,,,,,,,,,,,,,,,,,,08:50,65,273,,,,,1,6,2,5,17,308,6,5,70,205,52,0,7,132,234,,,,,,,,2,2,2,2,0
B-LR 10,72h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 10,predeath_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 11,baseline_arm_2,2.16,2023-04-05,67.9,67.9,1,High Lac at EOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,0,0,0,0,0
B-LR 11,eos_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 11,eor_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 11,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 11,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 11,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 11,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 11,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 11,24h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 11,48h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 11,72h_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 11,predeath_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-LR 12,baseline_arm_2,1.99,2023-04-06,0.4,0.4,1,Low EOS lac,,,,,,,,,,,,,06:45,85,260,,7,41,74,2,7,5,12,37,304,12,43,57,234,210,0,12,149,185,,,,,2,2,,2,2,2,2,0
B-LR 12,eos_arm_2,,,,,,,,,,,,,,,,,,,09:02,49,227,,7,52,34,1,3,4,8,24,279,,,,,,,,,,,,,,,,,2,2,2,0,0
B-LR 12,eor_arm_2,,,,,,,,,,,,,,,,,,,09:12,45,234,,7,46,31,3,4,3,7,22,252,4,28,35,138,275,0,12,189,267,,,,,,,,2,2,2,2,0
B-LR 12,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,10:12,47,168,,7,45,33,3,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
